year,gender,nmc_course_level,intake_count
2017,Male,Engineering: Diploma,81
2017,Male,Engineering: Higher NITEC,2316
2017,Male,Engineering: NITEC,3672
2017,Male,Info-Communications Technology: Higher NITEC,528
2017,Male,Info-Communications Technology: NITEC,867
2017,Male,Business & Services: Diploma,16
2017,Male,Business & Services: Higher NITEC,938
2017,Male,Business & Services: NITEC,1363
2017,Female,Engineering: Diploma,10
2017,Female,Engineering: Higher NITEC,608
2017,Female,Engineering: NITEC,907
2017,Female,Info-Communications Technology: Higher NITEC,270
2017,Female,Info-Communications Technology: NITEC,396
2017,Female,Business & Services: Diploma,5
2017,Female,Business & Services: Higher NITEC,1554
2017,Female,Business & Services: NITEC,2303
2018,Male,Engineering: Diploma,87
2018,Male,Engineering: Work-Study Diploma,55
2018,Male,Engineering: Higher NITEC,2409
2018,Male,Engineering: NITEC,3205
2018,Male,Info-Communications Technology: Work-Study Diploma,17
2018,Male,Info-Communications Technology: Higher NITEC,646
2018,Male,Info-Communications Technology: NITEC,745
2018,Male,Business & Services: Diploma,19
2018,Male,Business & Services: Work-Study Diploma,4
2018,Male,Business & Services: Higher NITEC,1054
2018,Male,Business & Services: NITEC,1192
2018,Female,Engineering: Diploma,9
2018,Female,Engineering: Work-Study Diploma,4
2018,Female,Engineering: Higher NITEC,646
2018,Female,Engineering: NITEC,775
2018,Female,Info-Communications Technology:Work-Study  Diploma,7
2018,Female,Info-Communications Technology: Higher NITEC,274
2018,Female,Info-Communications Technology: NITEC,344
2018,Female,Business & Services: Diploma,3
2018,Female,Business & Services: Work-Study Diploma,22
2018,Female,Business & Services: Higher NITEC,1546
2018,Female,Business & Services: NITEC,2155
2019,Male,Engineering: Diploma,61
2019,Male,Engineering: Work-Study Diploma,110
2019,Male,Engineering: Higher NITEC,2544
2019,Male,Engineering: NITEC,3070
2019,Male,Info-Communications Technology: Work-Study Diploma,25
2019,Male,Info-Communications Technology: Higher NITEC,751
2019,Male,Info-Communications Technology: NITEC,719
2019,Male,Business & Services: Diploma,14
2019,Male,Business & Services: Work-Study Diploma,46
2019,Male,Business & Services: Higher NITEC,1074
2019,Male,Business & Services: NITEC,1148
2019,Female,Engineering: Diploma,8
2019,Female,Engineering: Work-Study Diploma,13
2019,Female,Engineering: Higher NITEC,706
2019,Female,Engineering: NITEC,861
2019,Female,Info-Communications Technology: Work-Study Diploma,14
2019,Female,Info-Communications Technology: Higher NITEC,313
2019,Female,Info-Communications Technology: NITEC,327
2019,Female,Business & Services: Diploma,5
2019,Female,Business & Services: Work-Study Diploma,100
2019,Female,Business & Services: Higher NITEC,1631
2019,Female,Business & Services: NITEC,2185
2020,Male,Engineering: Diploma,77
2020,Male,Engineering: Work-Study Diploma,173
2020,Male,Engineering: Higher NITEC,2483
2020,Male,Engineering: NITEC,2950
2020,Male,Info-Communications Technology: Work-Study Diploma,47
2020,Male,Info-Communications Technology: Higher NITEC,734
2020,Male,Info-Communications Technology: NITEC,718
2020,Male,Business & Services: Diploma,15
2020,Male,Business & Services: Work-Study Diploma,81
2020,Male,Business & Services: Higher NITEC,1025
2020,Male,Business & Services: NITEC,1047
2020,Female,Engineering: Diploma,5
2020,Female,Engineering: Work-Study Diploma,30
2020,Female,Engineering: Higher NITEC,646
2020,Female,Engineering: NITEC,872
2020,Female,Info-Communications Technology: Work-Study Diploma,32
2020,Female,Info-Communications Technology: Higher NITEC,349
2020,Female,Info-Communications Technology: NITEC,295
2020,Female,Business & Services: Diploma,7
2020,Female,Business & Services: Work-Study Diploma,120
2020,Female,Business & Services: Higher NITEC,1556
2020,Female,Business & Services: NITEC,2075
2021,Male,Engineering: Diploma,77
2021,Male,Engineering: Work-Study Diploma,194
2021,Male,Engineering: Higher NITEC,2434
2021,Male,Engineering: NITEC,2965
2021,Male,Info-Communications Technology: Work-Study Diploma,56
2021,Male,Info-Communications Technology: Higher NITEC,699
2021,Male,Info-Communications Technology: NITEC,688
2021,Male,Business & Services: Diploma,12
2021,Male,Business & Services: Work-Study Diploma,100
2021,Male,Business & Services: Higher NITEC,1001
2021,Male,Business & Services: NITEC,1096
2021,Female,Engineering: Diploma,3
2021,Female,Engineering: Work-Study Diploma,30
2021,Female,Engineering: Higher NITEC,728
2021,Female,Engineering: NITEC,901
2021,Female,Info-Communications Technology: Work-Study Diploma,16
2021,Female,Info-Communications Technology: Higher NITEC,337
2021,Female,Info-Communications Technology: NITEC,323
2021,Female,Business & Services: Diploma,8
2021,Female,Business & Services: Work-Study Diploma,141
2021,Female,Business & Services: Higher NITEC,1644
2021,Female,Business & Services: NITEC,2079
